Year,Hour,Wind Speed  ,
2016,23,6.85,6.5
2016,0,8.04,8.5
2016,1,7.72,7.5
2016,2,6.51,6.5
2016,3,5.59,5.5
2016,4,5.6,5.5
2016,5,5.95,5.5
2016,6,6.11,6.5
2016,7,6.06,6.5
2016,8,4.57,4.5
2016,9,3.37,3.5
2016,10,1.92,1.5
2016,11,1.12,1.5
2016,12,1.49,1.5
2016,13,1,1.5
2016,14,2.02,2.5
2016,15,2.73,2.5
2016,16,3.35,3.5
2016,17,4.31,4.5
2016,18,5.12,5.5
2016,19,6,6.5
2016,20,6.53,6.5
2016,21,6.32,6.5
2016,22,5.03,5.5
2016,23,3.27,3.5
2016,0,0.63,0.5
2016,1,1.14,1.5
2016,2,1.24,1.5
2016,3,1.21,1.5
2016,4,1.58,1.5
2016,5,1.3,1.5
2016,6,2.15,2.5
2016,7,2.75,2.5
2016,8,2.34,2.5
2016,9,0.92,0.5
2016,10,0.91,0.5
2016,11,0.64,0.5
2016,12,1.43,1.5
2016,13,2.21,2.5
2016,14,2.2,2.5
2016,15,2.59,2.5
2016,16,3.27,3.5
2016,17,3.55,3.5
2016,18,3.61,3.5
2016,19,4.3,4.5
2016,20,4.41,4.5
2016,21,3.71,3.5
2016,22,2.91,2.5
2016,23,2.14,2.5
2016,0,1.12,1.5
2016,1,1.75,1.5
2016,2,2.56,2.5
2016,3,2.4,2.5
2016,4,2.44,2.5
2016,5,2.91,2.5
2016,6,2.97,2.5
2016,7,2.9,2.5
2016,8,3,3.5
2016,9,1.58,1.5
2016,10,1.22,1.5
2016,11,1.39,1.5
2016,12,2.43,2.5
